Food Name,Food Group_Beverage,Food Group_Cereals,Food Group_Dairy,Food Group_Dry Fruits,Food Group_Fats & Oils,Food Group_Fruits,Food Group_Leafy Greens,Food Group_Nuts,Food Group_Pulses,Food Group_Seeds,Food Group_Soy Products,Food Group_Spices,Food Group_Vegetables,Cultural Suitability_Indian,Cultural Suitability_Middle Eastern,Cultural Suitability_North Indian,Cultural Suitability_South Indian,"Dietary Tags_Vegan, Gluten-Free","Dietary Tags_Vegetarian, Gluten-Free","Dietary Tags_Vegetarian, Vegan, Gluten-Free",Energy (kcal per 100g),Protein (g per 100g),Iron (mg per 100g),Calcium (mg per 100g),Folate (µg per 100g),Vitamin C (mg per 100g),Vitamin A (IU per 100g),Magnesium (mg per 100g),Fiber (g per 100g),Omega-3 (g per 100g),DHA (g per 100g),Sodium (mg per 100g)
North Indian Vegetables 11,0.00028934563,0.0005350046,0.99965036,0.0045591164,0.9996369,0.9999373,0.9965256,0.00028773167,0.0005964354,4.320299e-05,0.044164628,0.11792996,0.9991235,0.00010345183,0.9996538,0.9997024,0.9996836,0.00013615235,0.0013764834,0.9998604,0.9998184,0.9948296,0.34393844,0.9995426,0.999788,0.00043160105,0.95111305,0.00041485578,0.99994195,0.019643642,0.9991684,0.9983076
Indian Pulses 12,0.00011373921,0.0019308745,0.99955803,0.003184484,0.99985754,0.9985007,0.9996886,0.0005140893,0.0011272571,0.00043065212,0.054565735,0.05660213,0.99951077,0.00011795272,0.9999211,0.9997501,0.99990976,0.0001620917,0.0020879782,0.9997223,0.9999517,0.9952409,0.30701748,0.99889576,0.99988914,0.00016159157,0.9837213,0.00034062448,0.99990404,0.08563868,0.999491,0.99976104
South Indian Vegetables 13,0.00014552193,0.0010097779,0.99980897,0.0022846381,0.9998029,0.99997437,0.99942255,0.00034934634,0.00033545372,0.00014345835,0.05847436,0.1377439,0.9997328,0.00027350357,0.99996424,0.9998154,0.99990296,0.00022907667,0.0016373823,0.99957603,0.9998404,0.9986753,0.3298976,0.99938273,0.99981433,0.000308739,0.9678008,0.00040946246,0.9999018,0.018180758,0.9990056,0.9971335
South Indian Pulses 14,0.0007287133,0.0010666196,0.99997175,0.0016083316,0.9998493,0.0005375661,0.99977416,0.00011829243,0.0035604697,0.9771467,0.0006782825,0.018888399,0.99982566,4.9155617e-05,0.99996805,0.99964535,0.9992669,0.00017189559,0.022550585,0.99996173,0.999864,0.99972445,0.9960437,0.9975284,0.99995124,0.00015697337,0.23957747,0.00010681288,0.9999584,0.015630387,0.99981564,0.9999535
North Indian Pulses 15,0.0005656282,0.0017129455,0.9991398,0.00108792,0.9998976,0.9999169,0.99974054,0.00023349911,0.0020097988,8.175419e-05,0.03234328,0.07326876,0.99972636,3.224878e-05,0.99997926,0.9998956,0.9993674,0.0001968636,0.005744192,0.99981505,0.9998442,0.99912006,0.72521454,0.99834406,0.9999169,0.0014198796,0.99489623,8.757604e-05,0.99983096,0.026183423,0.9992606,0.99877375
North Indian Leafy Greens 16,0.0003100265,0.0022182094,0.99976057,0.003455298,0.99970716,0.99986875,0.99898213,0.0012561148,0.006199306,0.0006439697,0.13508807,0.15265538,0.9981281,0.000249071,0.9994469,0.9996729,0.99911827,0.00068753294,0.0062074903,0.9996437,0.99959224,0.9968225,0.5666713,0.9984836,0.9994273,0.0010587466,0.9215762,0.0008116966,0.999605,0.025975877,0.9990325,0.998206
Indian Seeds 17,0.00013515621,0.0008420078,0.9993868,0.0027240587,0.9998572,0.9998871,0.9996007,0.00021956825,0.0011009056,0.00019020084,0.057534296,0.12259152,0.999534,8.3753854e-05,0.9999566,0.99992454,0.9997218,0.00026932606,0.0021070784,0.99967885,0.99977213,0.99761415,0.45540464,0.9995633,0.99990475,0.00084158906,0.9061906,0.00016968169,0.9998493,0.020566043,0.99937785,0.99965644
Bengali Fruits 18,0.000113340786,0.00030590664,0.99990296,0.0011472295,0.99983597,0.87023693,0.9990464,0.00012789838,0.0011299304,0.036576584,0.03387435,0.06921714,0.99978596,6.508673e-05,0.999861,0.99986935,0.9998109,7.453675e-05,0.0031916366,0.9999728,0.9999802,0.99827516,0.87712234,0.9974232,0.9998498,0.00012539537,0.54941916,0.00012877569,0.99977666,0.04772779,0.9991196,0.99989307
North Indian Pulses 19,0.00045368582,0.0018784838,0.9997266,0.0044293115,0.99962485,0.998838,0.9994937,0.0005074143,0.001007545,0.0004077076,0.039618097,0.13857982,0.99907744,0.00024235318,0.999206,0.9998957,0.99983203,0.0002638469,0.0035313815,0.99955994,0.99993384,0.9978683,0.63859034,0.99896574,0.9996356,0.00054245687,0.9382401,0.0008333101,0.99973077,0.06792192,0.99957937,0.9996505
Bengali Cereals 20,7.9600184e-05,0.00023533522,0.9995447,0.0010152502,0.9997316,0.99981433,0.9995881,0.0007194757,0.00036673268,0.00026216457,0.04731657,0.16636726,0.9990514,0.00016615582,0.9999064,0.9999294,0.9998319,0.00030006055,0.0024681569,0.9996748,0.99968207,0.99842405,0.5189914,0.9992642,0.99966085,0.00038103902,0.9315035,0.00041120453,0.9998939,0.010433619,0.99883825,0.99970275
Bengali Nuts 21,0.00041796532,0.0006419953,0.9998323,0.0034377645,0.99969304,0.9963721,0.9993513,0.002127035,0.003649718,0.0034963554,0.028058989,0.08461869,0.9980202,0.00041936795,0.9999478,0.999212,0.99553466,0.00017633979,0.0035770547,0.9997737,0.9997458,0.99581856,0.6708205,0.99869686,0.9998572,0.00050026434,0.97591,0.00029815425,0.9997409,0.19569977,0.9984189,0.9976453
Gujarati Leafy Greens 22,3.1758816e-05,0.0008133666,0.9997396,0.0014074041,0.9999267,0.9999635,0.9998641,0.00020195858,0.00051122456,0.000114690214,0.06943149,0.03177155,0.9995832,5.343453e-05,0.99993265,0.9999652,0.99952185,0.00053511985,0.0032957944,0.99982196,0.99989235,0.99945325,0.7388354,0.9985885,0.9999479,0.00042400515,0.9888123,0.00038165122,0.99994767,0.012395723,0.99987435,0.9992925
Gujarati Pulses 23,0.0008670832,0.0012682484,0.9998173,0.0009451534,0.99982363,0.9999845,0.99810046,0.0011169374,0.003242032,0.00014990829,0.08635866,0.090451986,0.9995896,0.00011319691,0.9998523,0.9998449,0.99741286,0.000303816,0.018599357,0.99940467,0.9994192,0.9928766,0.68480414,0.99791235,0.99921143,0.0061832657,0.9858667,0.0002000703,0.99941564,0.05661275,0.99948454,0.9980647
Gujarati Leafy Greens 24,0.0002571893,0.0013276675,0.99971336,0.02459021,0.99981946,0.89728445,0.99948883,0.00058025646,0.00070853543,0.02867633,0.018682806,0.19563591,0.9994979,0.00010977111,0.99994063,0.99976,0.99992514,0.00030239826,0.003428367,0.9999385,0.99981517,0.99905664,0.7293367,0.99830675,0.99993014,0.00026370076,0.72893834,0.0002304722,0.99996614,0.04540421,0.99911135,0.9997404
North Indian Dairy 25,0.00026243116,0.0023002853,0.9998534,0.00216766,0.99906343,0.999764,0.9992168,0.0006811821,0.0004194983,0.00024649262,0.020692956,0.15372634,0.999169,0.0001685015,0.9998673,0.9995128,0.99897325,0.00020546089,0.009933891,0.99991214,0.9999242,0.9961553,0.5218067,0.9991523,0.99968266,0.000439749,0.98182905,0.0010492447,0.9996257,0.040070396,0.9990453,0.99976224
Indian Leafy Greens 26,0.00055657513,0.00017072572,0.99985373,0.0054033366,0.99980956,0.99983454,0.999627,0.0006200907,0.0001982201,0.00048771183,0.04793071,0.07018073,0.9991722,0.0001985146,0.999853,0.9998981,0.9998468,0.00013457109,0.0012412949,0.9998542,0.99988484,0.993117,0.5173259,0.99950397,0.9998653,8.587093e-05,0.8923559,0.00030404286,0.9999478,0.039192744,0.99932003,0.9990395
Bengali Seeds 27,0.00021577963,0.00049405266,0.99976784,0.0026561855,0.99982566,0.9994074,0.9993837,0.0011585498,0.0008537946,0.00053180003,0.019555992,0.13268256,0.9982059,9.8380726e-05,0.9998903,0.999777,0.9996259,0.00014622619,0.0016486973,0.9998697,0.99978477,0.99837554,0.45488486,0.9991768,0.9998597,0.00035938682,0.9607214,0.00018636358,0.999897,0.020862931,0.9988325,0.99947184
Gujarati Vegetables 28,0.00011313951,0.00022851626,0.9998994,0.001282157,0.9999019,0.99984956,0.9997433,0.00030138253,0.00051199406,0.0001428937,0.06794205,0.042086102,0.9995277,2.8045208e-05,0.99993527,0.9998479,0.99994326,2.4120383e-05,0.0022219792,0.9998394,0.99995244,0.9996791,0.34355992,0.99947685,0.9999269,6.587991e-05,0.9896255,9.416951e-05,0.9999769,0.018041898,0.9996501,0.99889225
Bengali Vegetables 29,0.000104182036,0.0007908319,0.99998856,0.012139379,0.99994504,0.9996568,0.99979097,7.490635e-05,0.00052530563,0.00018880554,0.040433846,0.13014251,0.999574,6.561363e-05,0.9999825,0.99996483,0.99982834,3.950711e-05,0.0019850186,0.99993193,0.99998546,0.9996252,0.468021,0.9998752,0.9999745,7.284961e-05,0.951768,4.87013e-05,0.99995697,0.015219015,0.99900526,0.99890304
Indian Seeds 30,0.00042566276,0.002189965,0.999108,0.0039554355,0.99963796,0.99940014,0.9992638,0.0002768098,0.003588496,0.003426989,0.023330066,0.11291579,0.99810165,0.0004543852,0.99907815,0.9996195,0.9988116,0.00051367393,0.003916516,0.99951446,0.9998054,0.99524885,0.5028398,0.99932694,0.9995801,0.000928976,0.94671226,0.0010363882,0.9996331,0.020509092,0.9976419,0.99829644
Indian Pulses 31,0.00025293298,0.00053309544,0.9995578,0.011409902,0.9989773,0.99891925,0.99687105,0.000624017,0.0011734549,0.0014239182,0.03421861,0.08193449,0.999461,0.00091773,0.9998522,0.999652,0.9995852,0.000679988,0.0022986957,0.99970907,0.9998584,0.99689627,0.4618621,0.9996112,0.9996203,0.00022515171,0.90672666,0.0013149877,0.9998388,0.01988057,0.9981573,0.9983546
North Indian Pulses 32,0.00019752185,0.0013153708,0.9996475,0.005938614,0.9996567,0.9998896,0.9976174,0.00041484172,0.0025328055,0.00041923963,0.11498994,0.11777833,0.99945825,0.00020143663,0.99976605,0.9996151,0.9977691,0.0002904501,0.026278296,0.99948263,0.999926,0.9961325,0.2960242,0.99881005,0.99977106,0.0008680355,0.94887346,0.0004478793,0.99960643,0.021002404,0.9983321,0.9965804
North Indian Vegetables 33,0.00013048729,0.00031278515,0.9999608,0.001191132,0.9999335,0.9998542,0.99978477,0.00014582419,0.00034499392,0.000551371,0.012417761,0.06326891,0.99919456,3.257068e-05,0.9999225,0.99996626,0.9997632,0.0001326185,0.0014808372,0.9998995,0.999966,0.9977864,0.6102643,0.99978715,0.9999138,0.00013143299,0.9975828,0.00016447096,0.99993324,0.019483453,0.9998436,0.9992562
Gujarati Nuts 34,0.00049649196,0.0020780968,0.99941003,0.004555327,0.99916613,0.9995127,0.9988991,0.0006451627,0.0050607184,0.00046028703,0.15376149,0.17810999,0.9944246,0.000104755236,0.9990544,0.9996958,0.9984249,0.0006041509,0.007666466,0.99969006,0.9993179,0.99113524,0.5752829,0.994885,0.9992112,0.0022075495,0.9366661,0.0016064714,0.99930596,0.012829038,0.9972119,0.9988096
Bengali Nuts 35,0.00011536919,0.004637054,0.99960774,0.0071818307,0.9995123,0.9997261,0.99856526,0.0007705777,0.009235586,0.0005284597,0.06822002,0.1399222,0.99828476,0.00078274484,0.99982554,0.99973935,0.9979558,0.000933011,0.005470789,0.99959165,0.9996598,0.9961748,0.5407595,0.9996289,0.99963236,0.0027066704,0.93395114,0.0009870788,0.9996636,0.0100563085,0.9965843,0.99655294
North Indian Dairy 36,0.00013911523,0.0016668347,0.999757,0.0020561237,0.99968266,0.999908,0.99972767,0.00075185066,0.0014773865,0.00026992374,0.038808603,0.059558194,0.998618,0.00010211283,0.9998617,0.9997495,0.9994848,0.00017185938,0.009601346,0.9990231,0.99973446,0.99724543,0.56057084,0.996759,0.9997501,0.00039189085,0.9676091,0.00018543373,0.99984205,0.017131206,0.99920005,0.99919826
Bengali Fruits 37,0.00064350467,0.0024593617,0.99943227,0.0032426822,0.9994,0.9995345,0.9987425,0.0009462067,0.002268004,0.00069335464,0.0663444,0.13909882,0.9975425,0.00035702216,0.99927646,0.9997259,0.99946004,0.00046608615,0.006013737,0.99975795,0.99929404,0.9916003,0.41980016,0.9993679,0.99927706,0.0005730819,0.95586914,0.00073262025,0.9992632,0.02936782,0.997951,0.99601257
South Indian Cereals 38,8.357953e-05,0.00068972196,0.9997514,0.003278469,0.99977475,0.95244175,0.9991843,0.0013077223,0.0002772588,0.029647687,0.020251572,0.024954839,0.99966204,7.939489e-05,0.9997125,0.9999436,0.9996226,0.00023617162,0.0039029839,0.99974793,0.99998474,0.9991721,0.54799604,0.9998336,0.9999105,0.00028904813,0.86312515,0.0001141201,0.99990463,0.040948465,0.99958605,0.9996289
Bengali Pulses 39,0.00060384517,0.000981429,0.99971825,0.003047803,0.99936396,0.9994398,0.99910295,0.0012951943,0.0018191014,0.00029893985,0.0722082,0.06167494,0.9957788,0.00023194811,0.999337,0.99981123,0.9994098,0.00022446687,0.0021803144,0.9992322,0.9993099,0.98853976,0.6062174,0.99838746,0.99918085,0.00037936235,0.9823611,0.00059052074,0.99957055,0.076071694,0.99933666,0.9953418
Bengali Cereals 40,4.8785852e-05,0.0003241193,0.99988914,0.0016804697,0.9995846,0.99909794,0.99975294,0.00024179996,0.00065053813,0.0016506102,0.03423376,0.081258155,0.99962544,8.27234e-05,0.999951,0.999902,0.999864,9.815892e-05,0.0021769032,0.9998729,0.9999422,0.9994236,0.44381398,0.9978218,0.99977344,0.0001852911,0.9493062,0.00020000545,0.99963784,0.021567665,0.9998721,0.999703
Indian Dairy 41,0.00021755189,0.0003295389,0.9999635,0.0010104385,0.9998215,0.9898319,0.99992836,5.1809922e-05,0.00077249325,0.0046301996,0.01190094,0.035153273,0.999845,1.0912607e-05,0.9999615,0.99995255,0.99983513,3.281808e-05,0.0005569389,0.99989176,0.9999857,0.9990876,0.7819464,0.99924904,0.9999676,0.000316807,0.86397314,0.00018052012,0.999977,0.031532288,0.9996866,0.99996483
North Indian Seeds 42,0.00017902284,0.0010723803,0.999731,0.0015987145,0.9998274,0.9998598,0.9994543,0.00023046254,0.0014221756,0.00042033452,0.032166913,0.089429766,0.9993445,9.3260314e-05,0.9999583,0.99983466,0.9990734,0.0001428655,0.0030473843,0.9998952,0.9999231,0.9983682,0.6489076,0.9995454,0.9998104,0.00034376048,0.98388463,0.0005244094,0.9998541,0.04530889,0.9996997,0.9995641
Bengali Fruits 43,0.00012437518,0.00039232033,0.99998295,0.0003118719,0.9999907,2.0265845e-06,0.9999578,3.8065336e-05,0.0032783349,0.9999653,0.009300052,0.0651812,0.9996749,4.1802574e-05,0.9999156,0.99992394,0.9975132,3.937096e-05,0.01615172,0.99997175,0.9997048,0.9999789,0.99995756,0.99795806,0.99997735,0.00055031205,0.0010832141,1.567156e-05,0.9999846,0.017223122,0.9999645,0.9999366
Gujarati Dairy 44,0.0010371123,0.00198778,0.9996176,0.006090287,0.99923146,0.99809533,0.99929,0.00040027327,0.004029849,0.0010708225,0.022044582,0.017546106,0.9976636,0.00013472233,0.99989414,0.9989574,0.9995432,0.0005362631,0.006286339,0.9994049,0.99976975,0.9830782,0.3805002,0.9969105,0.99966943,0.00034319758,0.9832675,0.002553826,0.9998248,0.08465699,0.99884015,0.9994549
Indian Vegetables 45,3.6441405e-05,0.00074123,0.999511,0.003090563,0.9998666,0.9994394,0.9997762,0.000724156,0.003120566,0.0007054768,0.021467725,0.14038369,0.99947494,3.8656275e-05,0.9999198,0.9997199,0.9985838,6.911142e-05,0.004782037,0.99979156,0.9998394,0.9990351,0.41601017,0.9990589,0.9995974,0.0030914668,0.9409268,0.00017948193,0.9998293,0.033169612,0.9995291,0.9998361
Gujarati Vegetables 46,7.514287e-05,0.0010574114,0.99980015,0.0014192112,0.9997733,0.9995714,0.99984384,0.00012732999,0.0005908132,0.00023212754,0.027033785,0.10802038,0.9990652,8.7475804e-05,0.9999702,0.99993324,0.9995658,0.00019637599,0.0063309222,0.99994075,0.999951,0.99853635,0.4982721,0.9985879,0.9998989,0.00025960658,0.9880647,0.00047783979,0.99995947,0.005803165,0.9993437,0.9997317
North Indian Dairy 47,0.00029256422,0.0026931341,0.99908817,0.003127418,0.9996774,0.99948716,0.99960715,0.0005943094,0.0006793403,0.0007821822,0.065395504,0.08901643,0.9994747,0.00024941794,0.99982315,0.9998683,0.9990723,0.0010893989,0.023246115,0.99962723,0.9997898,0.9969311,0.45889398,0.9959143,0.9995326,0.0016779932,0.9784041,0.0012829474,0.9996706,0.0064688106,0.9990138,0.9996575
Bengali Pulses 48,0.0004682569,0.002522709,0.9995628,0.004747245,0.9997286,0.9963027,0.99932027,0.00044026494,0.00036031014,0.0015940769,0.014653669,0.023946933,0.9995609,4.6899495e-05,0.99987674,0.9998259,0.9997987,5.6862562e-05,0.0019754816,0.9985663,0.99990845,0.9971112,0.4658898,0.9996438,0.99988747,0.0008166097,0.972954,0.00016930804,0.999846,0.04663019,0.99898607,0.99817
North Indian Dairy 49,6.850977e-05,0.0013468118,0.9994124,0.003542899,0.99958664,0.99944395,0.9976574,0.0004859723,0.0013356985,0.00014894425,0.04793886,0.16677706,0.9986332,0.00014958315,0.99982977,0.99989533,0.9997242,0.00017888445,0.0072859963,0.99943167,0.9999026,0.9870379,0.7122455,0.9992293,0.9998235,0.0003852285,0.97091675,0.00082199456,0.99978024,0.010116019,0.99663985,0.99892056
Gujarati Seeds 50,0.00050215196,0.0028541554,0.9997216,0.0014346035,0.9999219,0.00086389954,0.9998727,0.00011771844,0.004385692,0.9891817,0.023465516,0.17341807,0.99775946,6.239357e-05,0.9996873,0.9997098,0.9990245,0.00011466035,0.0045081126,0.9999566,0.9995203,0.99951804,0.9921131,0.998252,0.999969,0.002800879,0.057906754,9.699519e-05,0.99970645,0.07333659,0.999617,0.9998031
Bengali Pulses 51,0.00015333839,0.0037792446,0.9990068,0.0028203963,0.99942917,0.9996784,0.99949527,0.0015409347,0.0012213902,0.0003804688,0.10404943,0.2099946,0.99931777,0.00043524744,0.99964964,0.99982363,0.9993048,0.0005470654,0.007249337,0.99962986,0.9998287,0.9980685,0.49553823,0.99787104,0.99914575,0.0016204949,0.8867285,0.00052687316,0.99977154,0.020634865,0.9985567,0.99905473
Bengali Pulses 52,0.00042134707,0.0009416417,0.99935657,0.0052417074,0.99906594,0.999871,0.9989077,0.00087288895,0.0052206703,0.0012728857,0.12541863,0.17325279,0.994156,0.00027704873,0.9993674,0.99968183,0.9944443,0.0009276643,0.00750175,0.9995827,0.9994199,0.99702007,0.5517857,0.9939142,0.99859244,0.0025355683,0.9888131,0.0006452802,0.9991978,0.038582653,0.99842596,0.9875394
Indian Fruits 53,0.0010229836,0.0029118462,0.99979013,0.0005300029,0.99981433,0.046527587,0.99816495,0.0008161888,0.00039847963,0.9483133,0.0094175255,0.09138557,0.9988758,0.0001185691,0.99989843,0.9999335,0.99829894,0.0005062164,0.0040398557,0.99976987,0.9995447,0.99965644,0.9849091,0.9991584,0.9999244,0.0030304443,0.37139675,0.0016903993,0.9999089,0.03266803,0.9996773,0.99742246
Bengali Vegetables 54,0.0002565834,0.0006544889,0.99972326,0.0018431919,0.99980325,0.9999392,0.9998142,0.0007452857,0.0016119352,0.0002266439,0.0871023,0.13422622,0.9993327,0.00016591421,0.999821,0.999918,0.9991198,0.00017794626,0.007536427,0.9997857,0.9998504,0.9970324,0.49896765,0.99909866,0.99977964,0.0002956159,0.9888404,0.0002760684,0.99995685,0.017730942,0.9992793,0.9987472
South Indian Pulses 55,0.0003533062,0.0010526107,0.9994306,0.0039285324,0.9996289,0.9998901,0.9980679,0.0004652891,0.000774912,0.00096670224,0.04434745,0.15754393,0.9988881,0.000208008,0.99973696,0.99985576,0.9997888,0.000405919,0.0028772466,0.99956745,0.9999114,0.9952903,0.5795054,0.99972683,0.9994369,0.00066539715,0.9110633,0.00061797706,0.9999182,0.024752308,0.99858236,0.9986909
Bengali Vegetables 56,0.0003257186,0.0017517295,0.9993643,0.0037060997,0.9992343,0.9998041,0.99609655,0.00029836607,0.00075729296,7.074706e-05,0.045752537,0.07975158,0.99853253,0.0004316638,0.9998832,0.9998616,0.9994708,0.00014058985,0.0036638821,0.9997452,0.9998745,0.9957045,0.23292652,0.9991197,0.999843,0.0010535145,0.989673,0.00020136173,0.99981576,0.03518509,0.9987037,0.99715257
Bengali Dairy 57,0.00022993951,0.00048859895,0.9996182,0.010745731,0.9996977,0.9973195,0.9994485,0.0006540701,0.00017229434,0.001356757,0.020874077,0.12212619,0.9992588,0.000271006,0.999966,0.99977463,0.99981517,0.00022614891,0.0019226942,0.99982315,0.99991167,0.9991347,0.3085568,0.9993031,0.9998024,0.00026409252,0.7861255,0.0004017435,0.9999355,0.03311661,0.9991892,0.99977607
Indian Vegetables 58,0.00033963026,0.0009477951,0.99991274,0.0006423453,0.9998573,0.7362678,0.9994754,0.00016548952,0.00029042544,0.15336446,0.009346936,0.049519986,0.9995976,0.0004561228,0.9998423,0.9999672,0.9990897,7.374554e-05,0.011190893,0.99971956,0.99991965,0.99916875,0.77529746,0.99834275,0.9997764,0.0012709347,0.769235,0.00015341297,0.9999249,0.0064888904,0.9992779,0.9995492
Bengali Vegetables 59,6.87506e-05,0.0012535457,0.9998338,0.0011205897,0.99985945,0.999816,0.9995695,0.00014890677,0.00081722706,0.00022225695,0.033590663,0.13345699,0.9990608,6.515194e-05,0.9999356,0.99995434,0.9994611,0.00021086937,0.00409961,0.99989116,0.9998354,0.99738544,0.46963435,0.99933785,0.99984884,0.00066983514,0.9710472,0.0001325055,0.99979645,0.008167799,0.9988558,0.9998252
Gujarati Vegetables 60,0.0016906937,0.0010109677,0.9999362,0.0011817242,0.99998033,4.9904153e-05,0.9997217,0.00012359182,0.0010117793,0.9968945,0.015355389,0.10753,0.99933225,4.8025136e-05,0.99997365,0.99969745,0.9909793,0.00021833969,0.0063967616,0.99994504,0.9998828,0.99995875,0.9985104,0.99907696,0.99996495,0.0028447448,0.02465854,0.00016699765,0.9999713,0.030131007,0.9998636,0.99991727
Gujarati Fruits 61,0.002002261,0.0013797593,0.99998724,0.00048289416,0.9999907,1.2692474e-08,0.9995447,0.0001181532,0.003465799,0.99999905,0.0016060248,0.017756497,0.9998466,3.1167772e-05,0.9997812,0.9999633,0.9965083,5.8339203e-05,0.0043454776,0.9998957,0.9994821,0.99995244,0.99988496,0.9976109,0.99994063,0.0012776459,0.0010155089,4.3734326e-05,0.99998236,0.035154775,0.99992585,0.9997111
